OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
679785,272861,SGL-581,1ST AVE S AND S HANFORD ST,10/10/2025,POOR
679795,272869,SGL-508,BROADWAY AND JEFFERSON ST,10/10/2025,GOOD
679802,272877,SGL-565,7TH AVE S AND S DEARBORN ST,10/10/2025,POOR
679804,272879,SGL-112,7TH AVE AND STEWART ST,9/12/2025,POOR
679808,272883,SGL-777,RAINIER AVE S AND S BAYVIEW ST,10/10/2025,GOOD
679812,272887,SGL-792,HOLMAN RD NW AND MARY AVE NW,10/10/2025,FAIR
679813,272888,SGL-368,UNIVERSITY WAY NE AND NE 50TH ST,5/12/2025,POOR
679817,272892,SGL-620,STANLEY AVE S AND S ALBRO PL,10/31/2025,POOR
679819,272894,SGL-366,11TH AVE NE AND NE 50TH ST,4/27/2025,GOOD
679821,272896,SGL-692,EASTLAKE AVE E AND E LOUISA ST,10/10/2025,POOR
679826,272901,SGL-609,4TH AVE S AND EAST MARGINAL WAY S,10/10/2025,POOR
679835,272908,SGL-1030,7TH AVE AND JAMES ST,10/10/2025,
679841,272913,SGL-42,2ND AVE AND CHERRY ST,10/10/2025,FAIR
679842,272914,SGL-839,EASTLAKE AVE E AND E GARFIELD ST,10/10/2025,POOR
679843,272915,SGL-865,RAINIER AVE S AND S MASSACHUSETTS ST,10/10/2025,POOR
679846,272918,SGL-591,4TH AVE S AND S HOLGATE ST,10/10/2025,FAIR
679849,272921,SGL-608,6TH AVE S AND S MICHIGAN ST,10/10/2025,POOR
679853,272925,SGL-715,BOREN AVE AND UNIVERSITY ST,10/10/2025,POOR
679855,272928,SGL-958,20TH AVE AND E MADISON ST,12/31/2024,POOR
679858,272932,SGL-605,EAST MARGINAL WAY S AND S MICHIGAN ST,10/10/2025,POOR
679861,272934,SGL-946,24TH AVE NE AND LAKE CITY WAY NE,1/29/2025,POOR
679864,272936,SGL-7,1ST AVE S AND S WASHINGTON ST,10/10/2025,FAIR
679867,272939,SGL-509,BROADWAY AND JAMES ST,10/10/2025,GOOD
679868,272940,SGL-89,BOREN AVE AND PINE ST,10/10/2025,EXCELLENT
679869,272941,SGL-780,BOYLSTON AVE E AND E LYNN ST,10/10/2025,POOR
679871,272943,SGL-31,ALASKAN WR WAY AND YESLER WAY,10/10/2025,POOR
679876,272947,SGL-286,8TH AVE NW AND NW 85TH ST,10/10/2025,POOR
679877,272948,SGL-904,CORWIN PL S AND S DEARBORN ST,10/10/2025,POOR
679880,272951,SGL-462,12TH AVE AND E MADISON ST,8/7/2025,FAIR
679886,272957,SGL-472,9TH AVE AND SENECA ST,2/18/2025,GOOD
679889,272961,SGL-216,MERCER ST AND QUEEN ANNE AVE N,5/6/2025,FAIR
679891,272963,SGL-932,25TH AVE NE AND NE 125TH ST,10/10/2025,POOR
679894,272966,SGL-16,3RD AVE AND YESLER WAY,10/10/2025,POOR
679900,272970,SGL-968,11TH AVE NW AND NW LEARY WAY,6/12/2025,POOR
679904,272973,SGL-737,AURORA AVE N AND N 68TH ST,10/16/2025,POOR
679915,272984,SGL-599,1ST AVE S AND S HUDSON ST,10/10/2025,POOR
679917,272986,SGL-922,35TH AVE NE AND NE 115TH ST,10/10/2025,POOR
679922,272991,SGL-322,BOYLSTON AVE E AND E ROANOKE ST,10/10/2025,POOR
679928,272996,SGL-402,25TH AVE NE AND NE 65TH ST,8/15/2025,FAIR
679931,273000,SGL-621,AIRPORT WAY S AND S LUCILE ST,10/10/2025,POOR
679932,273001,SGL-823,5TH AVE S AND S SPOKANE NR ST,10/10/2025,POOR
679933,273001,SGL-823,5TH AVE S AND S SPOKANE NR ST,10/10/2025,POOR
